event,ID,default,Prepayment,vintage,cred_score,DBT_RATIO,start_date,end_date
2,1901519553529000,0,1,2003,671,0.31,01Dec2005,01Jan2006
2,1901519561549000,0,1,2005,675,0.35,01Dec2005,01Jan2006
2,1901520188409000,0,1,2001,676,0.39,01Dec2005,01Jan2006
2,1901520443109000,0,1,2006,785,0.34,01Mar2006,01Oct2011
2,1901520523219000,0,1,2003,695,0.22,01Dec2005,01Feb2006
2,1901520634399000,0,1,2003,772,0.05,01Dec2005,01Mar2009
2,1901521055739000,0,1,2009,750,0.43,01Jul2009,01Dec2009
2,1901521857639000,0,1,2004,792,0.2,01Dec2005,01Apr2009
2,1901523131339000,0,1,2002,705,0.12,01Dec2005,01Jan2006
2,1901524006729000,0,1,2002,664,0.37,01Dec2005,01Jan2006
2,1901524141509000,0,1,2003,676,0.23,01Dec2005,01Jan2006
1,1901525106999000,1,0,2001,726,0.33,01Dec2005,01Jan2007
2,1901525128029000,0,1,2004,756,0.26,01Dec2005,01Aug2007
1,1901525134509000,1,0,2007,676,0.57,01Apr2007,01Feb2012
2,1901526090679000,0,1,2005,797,0.32,01Dec2005,01Jan2006
2,1901526249539000,0,1,2003,745,0.33,01Dec2005,01Feb2012
2,1901527213639000,0,1,2002,694,0.39,01Dec2005,01Jan2006
2,1901527433599000,0,1,2004,631,0.28,01Dec2005,01Jan2006
2,1901527993039000,0,1,2003,692,0.22,01Dec2005,01Sep2006
0,1901528000349000,0,0,2004,698,0.08,01Dec2005,
2,1901528005819000,0,1,2004,750,0.23,01Dec2005,01Jan2006
2,1901528014999000,0,1,2004,722,0.3,01Dec2005,01Jun2006
2,1901528185459000,0,1,2002,663,0.29,01Dec2005,01Jan2006
1,1901528192909000,1,0,2005,661,0.2,01Dec2005,01Jun2009
2,1901528271969000,0,1,2004,675,0.13,01Dec2005,01Jan2006
2,1901528283899000,0,1,2004,622,0.21,01Dec2005,01Feb2009
2,1901528681869000,0,1,2001,606,0.39,01Dec2005,01Jan2006
2,1901528716599000,0,1,2002,667,0.29,01Dec2005,01Jan2010
2,1901528904329000,0,1,2001,773,0.21,01Dec2005,01Jan2006
2,1901529087659000,0,1,2004,792,0.09,01Dec2005,01Feb2009
1,1901529098939000,1,0,2005,645,0.36,01Dec2005,01Feb2010
2,1901529190669000,0,1,2002,667,0.23,01Dec2005,01Jan2006
2,1901529197919000,0,1,2003,632,0.25,01Dec2005,01Apr2006
2,1901529200999000,0,1,2003,688,0.29,01Dec2005,01Jan2006
2,1901529204399000,0,1,2003,792,0.15,01Dec2005,01Jan2006
0,1901529210369000,0,0,2005,801,0.13,01Dec2005,
2,1901529210879000,0,1,2005,775,0.27,01Dec2005,01Jan2006
0,1901529311209000,0,0,2008,816,0.2,01Feb2008,
2,1901529428319000,0,1,2003,774,0.01,01Dec2005,01Feb2007
2,1901529625819000,0,1,2002,653,0.07,01Dec2005,01Sep2006
2,1901529849099000,0,1,2003,801,0.12,01Dec2005,01Aug2009
2,1901530039799000,0,1,2003,709,0.37,01Dec2005,01Jan2006
2,1901530073039000,0,1,2002,791,0.11,01Dec2005,01Sep2010
0,1901530245859000,0,0,2007,753,0.1,01May2007,
2,1901530559959000,0,1,2002,655,0.3,01Dec2005,01Jan2006
2,1901530697679000,0,1,2003,664,0.35,01Dec2005,01Jan2006
2,1901532512639000,0,1,2004,767,0.37,01Dec2005,01Jan2006
2,1901532513449000,0,1,2004,702,0.34,01Dec2005,01Oct2011
0,1901532709429000,0,0,2002,764,0.26,01Dec2005,
2,1901533138389000,0,1,2005,700,0.34,01Dec2005,01May2008
2,1901533276939000,0,1,2004,714,0.32,01Dec2005,01Jan2006
0,1901533417349000,0,0,2008,710,0.18,01Oct2008,
1,1901534022619000,1,0,2005,661,0.37,01Dec2005,01Jun2009
0,1901534276049000,0,0,2010,781,0.59,01Jan2010,
1,1901534359179000,1,0,2005,721,0.22,01Dec2005,01Jun2006
0,1901535805779000,0,0,2004,713,0.38,01Dec2005,
2,1901536228309000,0,1,2005,813,0.16,01Dec2005,01Nov2011
2,1901539317529000,0,1,2003,698,0.26,01Dec2005,01Nov2008
2,1901544807389000,0,1,2007,778,0.29,01Jul2007,01Mar2009
2,1901545920569000,0,1,2004,772,0.48,01Dec2005,01May2006
0,1901546819039000,0,0,2007,799,0.13,01May2007,
2,1901549359059000,0,1,2006,789,0.25,01Jun2006,01Jul2008
2,1901551236459000,0,1,2005,774,0.28,01Dec2005,01Nov2011
0,1901551636479000,0,0,2003,799,0.05,01Dec2005,
0,1901555079589000,0,0,2004,710,0.21,01Dec2005,
2,1901555171719000,0,1,2004,702,0.29,01Dec2005,01Feb2006
2,1901555239459000,0,1,2006,713,0.24,01May2006,01Sep2006
1,1901555261709000,1,0,2003,645,0.07,01Dec2005,01Aug2009
2,1901555554059000,0,1,2003,710,0.26,01Dec2005,01Jan2006
2,1901555558559000,0,1,2008,789,0.66,01Feb2008,01Jan2011
2,1901556262999000,0,1,2003,624,0.16,01Dec2005,01Apr2007
2,1901556266479000,0,1,2003,712,0.25,01Dec2005,01May2008
2,1901556295229000,0,1,2007,718,0.44,01May2007,01Dec2007
2,1901557171979000,0,1,2003,715,0.29,01Dec2005,01Dec2010
2,1901559373599000,0,1,2005,728,0.3,01Dec2005,01Feb2006
2,1901559512119000,0,1,2005,753,0.38,01Dec2005,01Jul2008
2,1901559776609000,0,1,2007,673,0.39,01Feb2007,01Oct2007
0,1901559871009000,0,0,2003,614,0.16,01Dec2005,
